,station_name,latitude,longitude,station_start_year,rollout_cluster
298,Broadway & Berry St,40.71044554,-73.96525063,2013-01-01T00:00:00,2013
299,Washington Square E,40.73049393,-73.9957214,2013-01-01T00:00:00,2013
300,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,2013-01-01T00:00:00,2013
301,Broadway & W 39 St,40.75299641,-73.98721619,2013-01-01T00:00:00,2013
302,E 48 St & Madison Ave,40.75666,-73.976684,2013-01-01T00:00:00,2013
303,St Marks Pl & 2 Ave,40.728,-73.98713956,2013-01-01T00:00:00,2013
304,Willoughby St & Fleet St,40.69196566,-73.9813018,2013-01-01T00:00:00,2013
305,Pike St & Monroe St,40.71173107,-73.992,2013-01-01T00:00:00,2013
306,W 43 St & 10 Ave,40.76009437,-73.995,2013-01-01T00:00:00,2013
307,E 31 St & 3 Ave,40.743,-73.98,2013-01-01T00:00:00,2013
308,Pershing Square N,40.75188406,-73.97770164,2013-01-01T00:00:00,2013
309,E 47 St & 1 Ave,40.752,-73.968,2013-01-01T00:00:00,2013
310,Washington St & Gansevoort St,40.739323,-74.008119,2013-01-01T00:00:00,2013
311,E 55 St & Lexington Ave,40.75968085,-73.97031366,2013-01-01T00:00:00,2013
312,Fulton St & Broadway,40.71,-74.01,2013-01-01T00:00:00,2013
313,Grand St & Greene St,40.72165481,-74.00238141417502,2013-01-01T00:00:00,2013
314,Broadway & W 38 St,40.75299641,-73.98721619,2013-01-01T00:00:00,2013
315,11 Ave & W 59 St,40.77,-73.990541,2013-01-01T00:00:00,2013
316,W 38 St & 8 Ave,40.75466591,-73.992,2013-01-01T00:00:00,2013
317,S 4 St & Wythe Ave,40.71285887,-73.96590294,2013-01-01T00:00:00,2013
318,Laight St & Hudson St,40.72185379,-74.00771779,2013-01-01T00:00:00,2013
319,W 42 St & 8 Ave,40.7575699,-73.99098507,2013-01-01T00:00:00,2013
320,Leonard St & Church St,40.717571,-74.007,2013-01-01T00:00:00,2013
321,Fulton St & Clermont Ave,40.68415748,-73.96922273,2013-01-01T00:00:00,2013
322,Lefferts Pl & Franklin Ave,40.68,-73.956,2013-01-01T00:00:00,2013
323,Stanton St & Mangin St,40.71782143,-73.97628939,2013-01-01T00:00:00,2013
